LABID,Genetic_ID,SEX,species,Latitude,Longitude,Chiv_2002_strata,Chiv2002_Strata Symbol,Strata_final,Strata_fine scale,Crossman_strata,AK_STRATA_1,AK_STRATA_2,AK_STRATA_3,Wcoast1,Wcoast2,Wcoast3,Wcoast4,Wcoast4_num,AK1_USwest,AK2_USwest,AK3_USwest,AK3_Wcoast3,AK3_Wcoast4,Num_AK3_WC4,AK3_WC4_num,Geog_sort,Crossman1,Crossman2,sample_Notes,PM_strata_notes,Haplotypes
157167,DFO3993,,Hyb,54.138,-130.279,,,,,Outside/North,,,,Outside/North,North,N_BC,BC,,,,N_BC,N_BC,N_BC,23_BC,,Hyb,North,N_BC,,,CR03
157152,PW82897,,Hyb,48.563,-123.121,,,,,,,,,,,,,,,,,,,,,Hyb,Inside,San_Juan_Is,,,Pdal01
157149,PW98-01,,Hyb,48.586,-123.222,,,,,,,,,,,,,,,,,,,,,Hyb,Inside,San_Juan_Is,,,Pdal01
157160,PW98-05,,Hyb,48.568,-123.233,,,,,,,,,,,,,,,,,,,,,Hyb,Inside,San_Juan_Is,,,Pdal04
157151,PW628,,Hyb,48.586,-123.241,,,,,,,,,,,,,,,,,,,,,Hyb,Inside,San_Juan_Is,,,Pdal01
116959,116959,F,Hyb,47.1588,-124.191,,,,,,,,,ORWA_Coast,,,,,,,,,,,,Hyb,,,,,
145412,145412,,Pdal,33.35,-120.333333,,,,,,,,,,,,,,,,,,,,,Pdal,Pdal,Pdal,,,
157148,PW0619-1,,Pdal,48.645,-123.257,,,,,,,,,Inside,Inside,San_Juan_Is,San_Juan_Is,,,,San_Juan_Is,San_Juan_Is,San_Juan_Is,,,Pdal,Inside,San_Juan_Is,,,Pdal03
145216,145216,U,Pdal,47.866666,-125.15,,,,,,,,,,,,,,,,,,,,,Pdal,,,,,
145258,145258,U,Pdal,45.283333,-125.816666,,,,,,,,,,,,,,,,,,,,,Pdal,,,,,
145242,145242,U,Pdal,45.016666,-127.816666,,,,,,,,,,,,,,,,,,,,,Pdal,,,,,
